Year,PoliticalParty,Category,Number,Plan
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",1,"Nos comprometemos a reformar el sistema de financiación autonómica bajo los principios de autonomía, solidaridad, suficiencia y corresponsabilidad fiscal. Promoveremos un proceso de negociación transparente y multilateral, intentando lograr siempre el mayor consenso posible."
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",2,"Garantizaremos que el nuevo sistema de financiación autonómica asegure la cohesión territorial y la solidaridad entre los españoles, independientemente del lugar en el que residan. Todos los españoles deben ser iguales en oportunidades y calidad de servicios que reciben en todo el territorio nacional."
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",3,"Impulsaremos una modificación simultánea y vinculada de la financiación autonómica y la financiación local y de sus respectivos tributos, que evite solapamientos, defina los límites competenciales y garantice los recursos necesarios para la prestación adecuada de los servicios públicos."
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",4,"Seguiremos aplicando políticas de racionalización del gasto y de mejora de la gestión del sector público autonómico, conforme a los criterios de eficacia, eficiencia y calidad, con especial atención a la reducción de la morosidad."
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",5,"Seguiremos mejorando la transparencia en la elaboración, ejecución y liquidación de los presupuestos autonómicos. Ampliaremos el contenido de la información que acompaña a los proyectos de los presupuestos de manera que sea posible verificar la adecuación a los objetivos fijados y el cumplimiento de la regla de gasto."
2015,PP Madrid,"Un nuevo modelo de financiación autonómica con presupuestos realistas, ambiciosos y sociales",6,"Gracias a la mejora de los mecanismos de financiación, trasladaremos los ahorros obtenidos por el menor pago de intereses a partidas prioritarias como el gasto social."
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,7,"Los gobiernos del Partido Popular asumen como objetivo reducir los impuestos dependientes de las comunidades autónomas, haciendo que sean los ciudadanos los que decidan cómo administrar su dinero."
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,8,"Seguiremos profundizando en una política fiscal autonómica acorde con los objetivos de estabilidad presupuestaria y sostenibilidad financiera, que garantice el sostenimiento de los servicios del bienestar y contribuya a la creación de empleo."
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,9,En la medida que esté garantizada la financiación de los servicios públicos esenciales: • Impulsaremos una revisión de los tramos autonómicos del Impuesto sobre la Renta de las Personas Físicas que aumente la renta disponible de las familias. • Fomentaremos medidas que impulsen la creación de empleo y fortalezcan el ahorro y la competitividad empresarial a través de los tributos autonómicos. • Impulsaremos las bonificaciones y reducciones para los emprendedores y empresarios individuales. • Reduciremos el Impuesto de Sucesiones y Donaciones entre padres e hijos y entre cónyuges.
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,10,"Llevaremos a cabo una reorganización de la legislación actual sobre tasas públicas de competencia autonómica con objeto de hacerla más ágil y sencilla. Generalizaremos su tramitación electrónica, reduciendo los tiempos y costes para ciudadanos y empresas."
